Codigo_Barras;Codigo_Barea
8421654030786;5321153
8436542581035;7910031
8470003245920;7750701
8470003245913;7750700
8429420117365;7750723
8429420117457;7750723
8429420076280;7751040
3600521577806;7320030
3600521577844;7320030
8411300157561;7320030
3600521579305;7320027
3600521579343;7320027
8411300157585;7320027
8003511040017;8119554
8411574800118;8119554
8110535;8110535
8412508031110;8110535
8412508340007;8110535
8426610340008;8110535
8437005765023;8114170
8612251;8612251
8412852418605;8612251
8412852418803;8612251
8611956;8611956
8412852417509;8611956
8610033;8610033
8412852118376;8610033
8412852418377;8610033
8610022;8610022
8412852118369;8610022
8412852418346;8610022
8412852418360;8610022
8412852118352;8610011
8412852418353;8610011
8412852417608;8612052
8611750;8611750
8412852415208;8611750
8412852415802;8611750
8612450;8612450
8412852418308;8612450
8412852410401;8618750
8527654;8527654
8420499116075;8527654
8480024920416;8114595
8480024914811;8111121
8480024912237;8674665
8480024914330;8111095
8480024928153;8112403
8480024928221;8112403
8480024913302;8113545
8480024918819;8113545
8421904145727;8113910
8480024912152;8674466
8412508500319;8124955
8420499116129;8527750
8416200104479;4311193
8416200155389;4311193
8416200103113;4325694
8416200155419;4325694
8416200104134;4310294
8416200155280;4310294
8416200155150;4310591
8416200155426;4310591
4310694;4310694
84162311;4310694
8416200155198;4310694
4310890;4310890
84162298;4310890
8416200155037;4310890
8416200157390;4310890
8416200202021;4310890
8416200106329;4311090
4310992;4310992
84162304;4310992
8416200155167;4310992
8416200155402;4310992
4320791;4320791
8416200125528;4320791
8416200155204;4320791
8416200157413;4320791
8416200202038;4320791
4323895;4323895
8416200104127;4323895
8416200155136;4323895
58416200104122;4323895
4325996;4325996
8416200106527;4325996
8416200201307;4325996
4320699;4320699
8416200104103;4320699
8416200155112;4320699
68416200104105;4320699
4320596;4320596
8416200104110;4320596
8416200155129;4320596
58416200104115;4320596
4326991;4326991
8416200103106;4326991
8416200155570;4326991
8416200155815;4327094
8416200155969;4327094
4210201038955;8639045
4210201037613;8639044
4210201037996;8639040
4210201068747;8639039
4210201068846;8639039
4210201034117;8639043
4210201129820;8639043
4210201045564;8639046
4210201130123;8639046
4210201075097;8639041
4210201034254;8639042
4210201132066;8639042
4210201654940;8639047
4210201094999;8630135
4210201095002;8630135
4210201147251;8630135
3030050051025;8630104
8710103410942;8630019
8710103411000;8630123
8710103309796;8632875
7711160;7711160
8412122340506;7711160
8520056;8520056
8002522551109;8520056
28002522551103;8520056
4000530238740;7912117
4000530500946;7912121
4000530683670;7914561
8440585;8440585
8421002610608;8440585
28421002610602;8440585
4000530583826;7912119
4000530547651;7912115
4000530581914;7912120
